Div.,Article,Sebango,Forced
1268,1821387900,3879,X
1268,1821434000,4340,X
1268,1821435000,4350,X
1268,1821435900,4359,X
1268,1821436000,4360,X
1268,1821436900,4369,X
1268,1821439000,4390,X
1268,1821440900,4409,X
1268,1821441900,4419,X
1268,1821446000,4460,X
1268,1821446600,4466,X
1268,1821447000,4470,X
1268,1821447600,4476,X
1268,1821448000,4480,X
1268,1821448600,4486,X
1268,1821449000,4490,X
1268,1821450000,4500,X
1268,1821461000,1461,X
1268,1821462000,1462,X
1268,1821464501,4645,X
1268,1821464600,4646,X
1268,1821465000,4650,X
1268,1821465900,4659,X
1268,1821536600,5366,X
1268,1821537000,5370,X
1268,1821537600,5376,X
1268,1821554000,5540,X
1268,1821561000,5610,X
1268,1821608000,6080,X
1268,1821624032,6240,X
1268,1821624600,6246,X
1268,1821633900,6339,X
1268,1821634900,6349,X
1268,1821660600,6606,X
1268,1821704900,7049,X
1268,1821717000,7170,X
1268,1821717900,7179,X
1268,1821749100,7491,X
1268,1821749600,7496,X
1268,1821750000,7500,X
1268,1821750100,7501,X
1268,1821750600,7506,X
1268,1821856600,8566,X
1268,1821936000,9360,X
1268,1821937000,9370,X
1268,1821937600,9376,X
1268,1821938000,9380,X
1268,1821938600,9386,X
1268,1821968100,9681,X
1268,1821968600,9686,X
1268,1822000000,0000,X
1268,1822093600,0936,X
1268,1822103000,1030,X
1268,1822124000,1240,X
1268,1822124600,1246,X
1268,1822184600,1846,X
1268,1822204600,2046,X
1268,1822260600,2606,X
1268,1822268600,2686,X
1268,1822269600,2696,X
1268,1822270600,2706,X
1268,1822280000,2800,X
1268,1822280900,2809,X
1268,1822293900,2939,X
1268,1822358600,3586,X
1268,1822489000,4890,X
1268,1822489900,4899,X
1268,1822491000,4910,X
1268,1822510600,5106,X
1268,1822511000,5110,X
1268,1822511600,5116,X
1268,1822582600,5826,X
1268,1822676000,6760,X
1268,1822677000,6770,X
1268,1822735000,7350,X
1268,1822736000,7360,X
1268,1822737000,7370,X
1268,1822738000,7380,X
1268,1822739000,7390,X
1268,1822742000,7420,X
1268,1822743000,7430,X
1268,1822743600,7436,X
1268,1822743900,7439,X
1268,1822744000,7440,X
1268,1822744900,7449,X
1268,1822745000,7450,X
1268,1822745900,7459,X
1268,1822751000,7510,X
1268,1822751900,7519,X
1268,1822768000,7680,X
1268,1822891600,8916,X
1268,1822989000,9890,X
1268,1822989900,9899,X
1268,1822990000,9900,X
1268,1822993600,9936,X
1268,1823002100,0021,X
1268,1823002800,0028,X
1268,1823016600,0166,X
1268,1823090600,0906,X
1268,1823091600,0916,X
1268,1823093600,0936,X
1268,1823152100,1521,X
1268,1823152600,1526,X
1268,1823153100,1531,X
1268,1823153600,1536,X
1268,1823155100,1551,X
1268,1823155600,1556,X
1268,1823175000,1750,X
1268,1823180000,1800,X
1268,1823222600,2226,X
1268,1823292000,2920,X
1268,1823292600,2926,X
1268,1823298000,2980,X
1268,1823329900,3299,X
1268,1823340000,3400,X
1268,1823340900,3409,X
1268,1823341000,3410,X
1268,1823342000,3420,X
1268,1823343000,3430,X
1268,1823344000,3440,X
1268,1823345000,3450,X
1268,1823346000,3460,X
1268,1823347000,3470,X
1268,1823347600,3476,X
1268,1823348000,3480,X
1268,1823348600,3486,X
1268,1823350000,3500,X
1268,1823440000,4400,X
1268,1823441000,4410,X
1268,1823442000,4420,X
1268,1823442800,4428,X
1268,1823462000,4620,X
1268,1823477000,4770,X
1268,1823486000,4860,X
1268,1823496000,4960,X
1268,1823497000,4970,X
1268,1823501000,5010,X
1268,1823502000,5020,X
